epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06743,1.46454,2.96611,1.64333,0.00794,1,0.21173,0.12033,0.93603,3.0162,1.40492,0,0,0
2,5.80413,1.46047,2.88577,1.61096,0.00798,1,0.22358,0.12952,0.90913,3.01402,1.38332,1.6505e-05,1.6505e-05,1.6505e-05
3,7.37585,1.40691,2.93015,1.65257,0.00802,1,0.24636,0.15381,0.85885,3.01412,1.33934,3.26799e-05,3.26799e-05,3.26799e-05
4,9.05559,1.16229,2.80904,1.39444,0.00803,1,0.26106,0.17275,0.79197,3.00746,1.27461,4.85247e-05,4.85247e-05,4.85247e-05
5,10.7194,1.02707,2.88401,1.3681,0.00807,1,0.27538,0.18025,0.74313,2.99723,1.21632,6.40395e-05,6.40395e-05,6.40395e-05
6,12.5289,1.08777,2.9516,1.2851,0.00805,1,0.30679,0.19723,0.69175,2.9923,1.15238,7.92242e-05,7.92242e-05,7.92242e-05
7,14.1197,0.98407,2.76028,1.25013,0.00803,1,0.37676,0.21465,0.6491,2.97793,1.11178,9.40788e-05,9.40788e-05,9.40788e-05
8,15.6918,0.812,2.75122,1.19513,0.00803,1,0.37417,0.24464,0.58403,2.9607,1.05724,0.000108603,0.000108603,0.000108603
9,17.2825,0.88525,2.74375,1.22046,0.00805,1,0.50941,0.34976,0.5366,2.9578,1.01409,0.000122798,0.000122798,0.000122798
10,18.8421,0.81731,2.63763,1.13382,0.00799,1,0.58622,0.39669,0.56527,2.96104,1.00356,0.000136662,0.000136662,0.000136662
11,20.5424,0.9383,2.66081,1.23633,0.00804,1,0.72714,0.49656,0.60993,2.94925,1.01681,0.000150197,0.000150197,0.000150197
12,22.0586,0.91105,2.65584,1.2865,0.00808,1,0.74063,0.5074,0.64096,2.94465,1.01001,0.000163401,0.000163401,0.000163401
13,23.8015,0.84733,2.4796,1.22417,0.0082,1,0.75096,0.55874,0.61085,2.93899,1.00711,0.000176275,0.000176275,0.000176275
14,25.2788,0.86069,2.4198,1.12297,0.00832,1,0.7546,0.60528,0.56296,2.92895,0.97786,0.000188819,0.000188819,0.000188819
15,26.7672,0.84831,2.41203,1.16264,0.0084,1,0.79706,0.63966,0.51299,2.92163,0.97504,0.000201034,0.000201034,0.000201034
16,28.4454,0.7377,2.28566,1.10677,0.00845,1,0.83425,0.68908,0.49291,2.9178,0.99347,0.000212918,0.000212918,0.000212918
17,29.9789,0.70002,2.18086,1.10564,0.00845,1,0.88652,0.73361,0.49947,2.90392,1.02942,0.000224472,0.000224472,0.000224472
